Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time,Image Link,,
"What kind of software do vendors such as IBM, Computer Associates, Oracle, Microsoft, Sybase and MySQL provide mainly to IT professionals so they can store, access and manipulate corporate database information?", Structured Query Language (SQL) programs,Database management systems (DBMSs),Common Gateway Interface (CGI) applications,Open Database Connectivity (ODBC) standards,2,,,,
A one-to-one database table relationship can best be described as a table relationship in which:," one record in Table A can relate to many matching records in Table B, and vice versa.","each record in Table A can have only one matching record in Table B, and vice versa.","a record in Table A can have multiple matching records in Table B, but a record in Table B has only one matching record in Table A.",no record in Table A has any matching records in Table B.,2,,,,
What is the standard language for accessing information from a relational database?, XML,ODBC,SQL,PHP,3,,,,
"In a relational database, what distinguishes a primary key from other database components?", The primary key can contain duplicate data in the field.,The primary key is always the first field in a database table.,The primary key uniquely identifies each record in a database table.,The primary key can be found only in a junction table.,3,,,,
What is the term for a database that contains multiple tables related through common fields?, Common database,Relational database,Non-relational database,Joined database,2,,,,
A database field can best be described as:, a collection of data that can be sorted and searched using search algorithms.,a category of information in a table.,a collection of information consisting of one or more related pieces of information about a specific entity.,"a collection of data about a limited topic, organized into rows and columns.",2,,,,
A many-to-many database table relationship can best be described as a table relationship in which:," one record in Table A can relate to many matching records in Table B, and vice versa.","each record in Table A can have only one matching record in Table B, and vice versa.",no record in Table A has any matching records in Table B.,"a record in Table A can have multiple matching records in Table B, but a record in Table B has only one matching record in Table A.",1,,,,
A one-to-many database table relationship can best be described as a table relationship in which:," one record in Table A can relate to many matching records in Table B, and vice versa.","each record in Table A can have only one matching record in Table B, and vice versa.",no record in Table A has any matching records in Table B.,"a record in Table A can have multiple matching records in Table B, but a record in Table B has only one matching record in Table A.",4,,,,
A database can best be described as:," a collection of data about a limited topic, displayed in rows and columns.",a collection of information consisting of one or more related fields about a specific entity.,a collection of data that can be sorted and searched using search algorithms.,a category of information in a table.,3,,,,
"For which of the following should you prepare slide shows, polls, call-in capabilities and file-sharing capabilities to ensure a successful outcome?", Extranets,Webcasts,Intranets,Webinars,4,,,,
"In contrast to meetings that take place in person, a Webcast offers the advantage of:", being available for retransmission any time after the original event has taken place.,"encouraging participant interactivity, especially for participants who may be reticent to do so in face-to-face meetings.",enabling participants to communicate with the presenter and with each other via online chat.,broadcasting events in their entirety without the interruptions that frequently occur during meetings.,1,,,,
"Which of the following is a Web-based seminar or training session that is typically interactive, enabling participants to communicate with the presenter and with each other via online chat?", Voice conference,Webinar,Webcast,Web conference,4,,,,
"Which of the following is an interactive Web-based seminar or training session that is typically conducted in a one-way format, from speaker to participants with limited audience participation?", Voice conference,Webcast,Web conference,Webinar,4,,,,
Which of the following is generally used in non-interactive Web events?, Voice conference,Web conference,Webcast,Webinar,3,,,,
You have created a new software application and are ready to distribute it to other users. You have decided to license the software according to the GNU GPL version 3. What does this license allow you to do with your software?," You can sell your software, but only if you make the software code available on a public server.","You can sell your software, but only through a not-for-profit company.","Your software is available for free use by other programmers, but anyone who alters it must pay you a fee and share royalties from the modified software with you.","Your software is available for free use and alteration by other programmers, who must then make their modified versions freely available as well.",4,,,,
Which of the following statements is true regarding the GNU General Public License (GPL)?, It is an open-source license that places restrictions or requirements on derivative works.,It is an open-source license that encourages developers to make money by selling the software they produce.,It is an open-source license that allows you to obtain source code and make all the changes to it that you want.,It is an open-source license that has a patent clause that prevents developers from contributing code that infringes on their patents.,3,,,,
Which of the following statements is true regarding copyleft licenses?, Software that is distributed with a copyleft license is in the public domain.,A copyleft license prevents users from modifying and redistributing source code without first obtaining permission from the patent holder.,A copyleft license contains a patent clause that prevents developers from contributing code that infringes on their patents.,Software that is distributed with a copyleft license is proprietary.,1,,,,
What is an end-user license agreement (EULA)?, A set of exclusive rights granted to an inventor for a fixed period of time upon disclosure of the invention,A legal contract between the author of software and the end user that makes the source code available to the user,A legal contract between the author of software and the end user that defines how the software can be used,A legal contract between the author of software and the end user that eliminates restrictions on the use and distribution of the product,3,,,,
You are developing open-source software based on existing source code developed by someone else. What is the term for the piece of software you develop?, Copyright,Copyleft,Derivative work,Project fork,3,,,,
What is a software patent?, A legal contract between the author of software and the end user that makes the source code available to the user,A legal contract between the author of software and the end user that eliminates restrictions on the use and distribution of the product,A set of exclusive rights granted to an inventor for a fixed period of time upon disclosure of the invention,A legal contract between the author of software and the end user that defines how the software can be used,3,,,,
To which of the following does peer development and collaboration lend itself?, Open-source software development,Proprietary software development,Patent jurisdiction determination,Software distribution via cloud service providers,1,,,,
Which of the following statements best describes open-source licenses?, They enable software developers to design software that is very responsive to customers' changing requirements.,They enable users to access software applications hosted by a service provider.,They enable users to modify and redistribute software source code without restriction.,They enable software developers to have ready access to proprietary software's source code.,3,,,,
"You are part of a development team that needs to adopt an integrated development environment tool to increase programmer productivity. The team narrowed the options down to two. One is open-source; the other will require an expensive site license. The tool you choose must be reliable, stable and well maintained. Which of the following could be a disadvantage for you to choose open-source, and thus a compelling enough reason to purchase the licensed software instead of using the open-source solution?", Your developers will have ready access to the source code.,The open-source solution is in the public domain.,The code for the open-source solution can be viewed by a community of open-source developers.,Maintenance of an open-source solution relies on developers who volunteer to work on the code.,4,,,,
"The availability of vendor-supplied services and support, and the availability of regular updates and patches from vendors are considered advantages of:", using open-source software.,using proprietary software.,using software that is hosted by a service provider.,using software licensed by the GNU General Public License (GPL).,2,,,,
Cheryl has several concepts for mobile apps for smartphones. A friend suggests that she develop her apps for an open-source operating system. Why might Cheryl want to focus her app development efforts on an open-source operating system?, Because the operating system and associated development tools are free if she complies with the copyleft license,Because open-source operating systems and development tools are safe from software bugs and viruses,Because software with an open-source license will never be in the public domain,Because source code for an open-source app is not viewable and cannot be modified,1,,,,
You have been granted a software patent for your new software application. This means that:, users can use your application only if you grant them a license to do so.,users need not pay you a royalty in order to use the software.,the cost of the software will be less than if you had not received a patent for it.,the patent applies worldwide.,1,,,,
"You have joined several Web sites to keep in touch with current friends, reconnect with old friends, and find and contact people with interests similar to your own through people that you already know. What kind of Web sites have you joined?", Wiki sites,Social networking Web sites,Web feed services,Semantic Web sites,2,,,,
You have created your own blog site and have posted and received numerous entries. You have noticed that blog entries:," consist of brief, informal thoughts focused on a specific topic.",can contain only text.,cannot contain links to other authors or sites.,display in chronological order and are written in reverse chronological order.,1,,,,
Which term is used to describe a collection of personal thoughts posted on a public Web site?, Blog,Internet journal,Anonymous FTP,Newsgroup,1,,,,
Ken needs a catchy name for his new online business. He decides to launch a public contest through his social networking accounts to seek lots of creative ideas for his business name. Which term describes the use of the Internet in this manner?, Social engineering,Folksonomy,Crowdsourcing,Tagging,3,,,,
Your company has created a wiki for its employees to support blogs and collaborative projects. Employees can also contribute photos of company events to the company's internal Facebook site. These types of Web usage can be collectively described as:, Web 2.0.,folksonomy.,Web 1.0.,mashups.,1,,,,
Which of the following is an example of a Web 2.0 community or service?, Wikipedia,Ajax,Mashups,Bing,1,,,,
"You use Pandora (an automated Internet radio service) to build a collection of songs you like. When you select certain songs or artists, Pandora will play selections that are musically similar and you can approve or disapprove of the selections. The selections are determined by other Pandora users who have selected the same or similar songs/artists and categorized them together based on their own approval/disapproval decisions. This scenario is an example of:", crowdsourcing.,Software as a Service (SaaS).,cloud computing.,grid computing.,1,,,,
You have an account on Flickr (www.flickr.com) and have categorized your photos by adding tags to them. Users can now browse Flickr and gain access to your photos as long as the tags for which they search match the tags you have applied. What have you created?, A wiki,A blog,A mashup,A folksonomy,4,,,,
"Which term defines the practice of generating and improving content based on collective intelligence, and the use of software to gather and organize this intelligence?", Crowdsourcing,Social tagging,Open source,Wiki,1,,,,
You periodically access a Web site that encourages users to provide information in a collaborative effort to populate and grow the site. This site is an example of a:, mashup.,Web feed.,folksonomy.,wiki.,4,,,,
"What type of Web implementations have the ability to contextualize data so that computers can perform tasks associated with finding, sharing and combining information on the Web without human intervention?", Semantic Web implementations,Ajax-driven Web applications,Web feed management providers,Mashup applications,1,,,,
"Mrs. Brown is a teacher at the elementary school. As the school year begins, she sends a couple e-mail messages to her students' parents to provide links to various school resource sites. Many of the parents reply, thanking her for the resources and asking for more information on topics such as state testing, district requirements, and fun educational sites for kids. Mrs. Brown realizes that e-mail is an inefficient way to organize and share all her information. A more efficient way for her to provide resource links to her students' parents would be:", crowdsourcing.,social tagging.,collective intelligence.,grid computing.,2,,,,
You want to create a new Web site that contains content and scripts from other Web sites and blend them in an innovative fashion that you have yet to see in any other site on the Web. Which term describes your proposed Web site?, Ajax,Folksonomy,Mashup,Wiki,3,,,,
You want to view your Web feeds in your e-mail Inbox rather than viewing them through an aggregator. Which type of application will allow you to do this?, SMS gateways,News readers,Feed readers,Web feed management providers,4,,,,
You have subscribed to and want to start receiving Web feeds from you favorite Web sites. What must you download in order to start receiving the Web feeds?, An SMS gateway,An aggregator,A podcast,An XMLHttpRequest,2,,,,
Which of the following is used to help non-technical users collectively classify and find information on a site?, Semantic Web,Web feed,XML,Tagging,4,,,,
"Which term is used to describe Web 2.0 applications that have the ability to contextualize data (or give the data meaning) as they process it, by supplementing the content designed for humans with machine-readable information that enables computers to find, share and combine information on the Web without human intervention?", Crowdsourcing,Tagging,Web feed,Semantic Web,4,,,,
Which of the following is a necessary responsibility for you to maintain your IT career?, Customizing applications,Learning HTML,Programming Java,Continuing education,4,,,,
"You have decided to look for a new job to advance your career opportunities. Which process helps you to obtain current information about available, relevant jobs in your area most quickly?", Conduct a search on Google using appropriate keywords.,Join a mailing list for job seekers.,Conduct a search on a job seeker site.,Send instant messages to contacts at other companies.,3,,,,
Which format would be the most appropriate for you to use if you want to send your resume to several large employers who are likely to enter the information you provide into keyword-searchable resume databases and applicant tracking systems?, Portable Document Format (PDF),Rich Text Format (RTF),Text format,HTML format,3,,,,
Which is the most appropriate question to ask a potential employer regarding your resume?, What job experience do you want me to include?,How much Web experience should I include?,Do you want me to include certifications?,In what format do you want it?,4,,,,
You have just created a resume detailing your experience as a Web designer. This resume also specifies training you have received and certifications you have earned. Which is the most efficient way to distribute this information to the appropriate audience?, Send your resume to every contact in your e-mail address book.,"Find a list of HR representatives on the Internet, and send your resume as an e-mail attachment.",Submit your resume to a job search Web site.,Re-create your resume in HTML and post it on the Web for easy keyword searching.,3,,,,
A member of your IT team has updated the firewall. The project included creating a duplicate firewall for testing. This testing process took four hours. A code review to verify that the update was safe was also necessary. Another two hours were spent installing and testing the update on the live firewall. Your project manager has been asked by upper management to justify the cost of creating a duplicate firewall. Which is the most appropriate explanation to provide to upper management?, The machine used for the test firewall was inexpensive and was not in use at the time.,It was necessary to review the source code in the update to make sure that it was safe to install.,"Packets traveling at Layer 3 of the OSI/RM can be dangerous, so it was necessary to do the upgrade correctly.","An unsuccessful, untested installation would have caused significant network down time.",4,,,,
"You are almost finished updating a Web site. As part of the update, you have converted all pages from HTML 4.0 to HTML5. The project is currently on schedule. However, your project manager has been asked by the marketing team manager to justify a day of time spent validating the site's HTML5 pages. The marketing team manager does not have technical knowledge of the Internet or the Web. Which is the most appropriate explanation to provide to the marketing team manager?", The team needs to verify that the site will appear as expected in as many browsers as possible.,"Customers may have problems downloading the page, and one of those problems might involve improperly closed tags.","Improper declarations will cause problems, and they need to be verified via HTTP.",We need to verify that the HTML5 in the pages conforms to W3C standards.,1,,,,
In which of the following job roles is it most important that you be able to translate highly technical concepts into information that a non-technical audience can readily understand?, Java programmer,Marketing manager,Server administrator,Help desk technician,4,,,,
"As a member of a busy IT department, you often work with end users and management personnel, many of whom have only a basic knowledge of computers and computer networks. Which of the following skills is important to your job as an IT professional but is often under-emphasized?", Management training,Marketing skills,Programming expertise,Communication skills,4,,,,
"As an IT professional, which is the most important reason for you to develop and use good communication skills?", Because your social network is an important resource in a job search,Because you will need to represent technical issues to a non-technical audience,Because you must discuss your project tasks with other members of your IT team,Because you must communicate literately in IT newsgroup discussions,2,,,,
